isrm,PrimaryPM25,NO3,NH4,SO4,SOA,TotalPM25,Total,White,Black,Native_American,Asian,Pacific_Islander,Other,Multiple,Hispanic,White non hispanic,geometry,Area,DeathsK,DeathsK_White,DeathsK_Asian,DeathsK_Black,DeathsK_Hispanic,Pop_density,DeathsK_per,DeathsK_area,TotalPM_area,Black_per,Asian_per,Hispanic_per
960,0.43023597,0.155573857,0.185155777,0.061266262,0.075065622,0.907297487,,,,,,,,,,,"POLYGON ((-122.5377411 37.75995967000001, -122.5504325 37.79470231999999, -122.594392 37.78466021999998, -122.5816812 37.74992255999999, -122.5377411 37.75995967000001))",16.00000293,,,,,,,,,0.056706083,,,
961,0.316403891,0.085488546,0.202298712,0.060188779,0.058234432,0.72261436,,,,,,,,,,,"POLYGON ((-122.5504325 37.79470231999999, -122.5631361 37.82944404000001, -122.6071152 37.81939695, -122.594392 37.78466021999998, -122.5504325 37.79470231999999))",16.0000081,,,,,,,,,0.045163375,,,
962,0.259755548,0.086133806,0.245370673,0.055134221,0.059431592,0.70582584,284,0.919014085,5,1,10,0,1,6,5,256,"POLYGON ((-122.5631361 37.82944404000001, -122.5758521 37.86418482000001, -122.6198506 37.85413273000001, -122.6071152 37.81939695, -122.5631361 37.82944404000001))",16.00000674,0.010922195,0.010037651,0.000384584,0.000192292,0.000192292,17.74999253,3.85E-05,0.000682637,0.044114096,0.017605634,0.035211268,0.017605634
963,0.252342084,0.075016715,0.261709442,0.051899992,0.062279624,0.703247858,24,0.833333333,0,0,2,0,0,2,2,18,"POLYGON ((-122.5758521 37.86418482000001, -122.5885804 37.89892463, -122.6325984 37.88886754999999, -122.6198506 37.85413273000001, -122.5758521 37.86418482000001))",15.99998419,0.000919624,0.000766354,7.66E-05,0,7.66E-05,1.500001483,3.83E-05,5.75E-05,0.043953035,0,0.083333333,0.083333333
964,0.233889435,0.069076904,0.277695748,0.048836478,0.061114781,0.690613346,1929,0.89217211,32,20,28,5,37,86,215,1506,"POLYGON ((-122.5885804 37.89892463, -122.601321 37.93366346999999, -122.6453586 37.92360138999997, -122.6325984 37.88886754999999, -122.5885804 37.89892463))",15.99999017,0.072584176,0.064757577,0.001053581,0.001204092,0.008089994,120.5625741,3.76E-05,0.004536514,0.043163361,0.016588906,0.014515293,0.111456713
965,0.21322776,0.060498581,0.314705611,0.041042078,0.066759827,0.696233857,374,0.834224599,0,0,5,10,36,11,80,232,"POLYGON ((-122.601321 37.93366346999999, -122.6140739 37.96840132, -122.6581311 37.95833424000001, -122.6453586 37.92360138999997, -122.601321 37.93366346999999))",16.00000151,0.014187589,0.011835636,0.000189674,0,0.003034778,23.37499779,3.79E-05,0.000886724,0.043514612,0,0.013368984,0.213903743
966,0.197030599,0.058356951,0.3274343,0.038296254,0.064468695,0.6855868,306,0.947712418,3,0,5,2,1,5,16,274,"POLYGON ((-122.6140739 37.96840132, -122.6268393 38.00313817000003, -122.670916 37.99306608999999, -122.6581311 37.95833424000001, -122.6140739 37.96840132))",16.00000564,0.011430159,0.010832503,0.000186767,0.00011206,0.000597655,19.12499326,3.74E-05,0.000714385,0.04284916,0.009803922,0.016339869,0.052287582
967,0.184416282,0.053664514,0.333886513,0.036238453,0.060817665,0.669023428,5390,0.896846011,49,27,60,4,248,168,564,4270,"POLYGON ((-122.6268393 38.00313817000003, -122.639617 38.03787398999997, -122.6837133 38.02779691000001, -122.670916 37.99306608999999, -122.6268393 38.00313817000003))",15.99998653,0.196461524,0.176195734,0.002186956,0.001786014,0.020557384,336.8752837,3.64E-05,0.012278856,0.041813999,0.009090909,0.011131725,0.104638219
968,0.203665486,0.137184603,0.179388772,0.020415871,0.056252032,0.596906763,3492,0.857674685,55,22,41,3,255,121,636,2359,"POLYGON ((-122.7165446 38.24626671000001, -122.7294095 38.28099498000001, -122.7736434 38.27088287000001, -122.7607588 38.2361596, -122.7165446 38.24626671000001))",16.0000018,0.113536852,0.097377684,0.00133305,0.001788238,0.020678533,218.2499755,3.25E-05,0.007096052,0.037306668,0.015750286,0.011741123,0.182130584
969,0.236016449,0.156657979,0.205134191,0.020265012,0.068656756,0.686730387,560,0.7625,0,1,4,0,113,15,173,254,"POLYGON ((-122.7294095 38.28099498000001, -122.742287 38.31572212, -122.7865406 38.30560499999999, -122.7736434 38.27088287000001, -122.7294095 38.28099498000001))",16.00000678,0.020952899,0.015976586,0.000149664,0,0.006472949,34.99998516,3.74E-05,0.001309556,0.042920631,0,0.007142857,0.308928571
970,0.272315288,0.168723511,0.251224268,0.019851929,0.080056016,0.792171012,2356,0.881154499,15,9,52,2,146,56,307,1769,"POLYGON ((-122.742287 38.31572212, -122.7551771 38.35044811000002, -122.7994504 38.34032598000001, -122.7865406 38.30560499999999, -122.742287 38.31572212))",16.00000521,0.101717945,0.089629225,0.002245048,0.00064761,0.013254418,147.249952,4.32E-05,0.00635737,0.049510672,0.006366723,0.022071307,0.130305603
971,0.380389264,0.152846223,0.584009131,0.021656646,0.093568559,1.232469824,6871,0.896521613,61,24,117,10,247,252,693,5467,"POLYGON ((-122.7551771 38.35044811000002, -122.7680797 38.38517292999999, -122.8123727 38.37504578999999, -122.7994504 38.34032598000001, -122.7551771 38.35044811000002))",15.99998465,0.462122639,0.414302933,0.007869065,0.004102675,0.04660908,429.4379121,6.73E-05,0.028882693,0.077029438,0.008877893,0.017028089,0.100858681
972,0.502075844,0.209441436,1.119710947,0.022343328,0.132138796,1.985710352,10932,0.907793633,88,90,200,15,269,346,891,9033,"POLYGON ((-122.7680797 38.38517292999999, -122.7809949 38.41989657, -122.8253077 38.40976442000002, -122.8123727 38.37504578999999, -122.7680797 38.38517292999999))",15.99999025,1.18721967,1.077750458,0.021720082,0.009556836,0.096762964,683.2504165,0.0001086,0.074201275,0.124106973,0.008049762,0.018294914,0.081503842
